Title,Year,Venue,Author,Community of Focus - Blind and/or Visual Impaired,Community of Focus - d/Deaf or hard of hearing,Community of Focus - Motor/physical impairment,Community of Focus - Neurodivergent people (NDV),Community of Focus - Intellectual and developmental disabilities,Community of Focus - General disability,Community of Focus - Other,Role on the development team - Programmer,Role on the development team - Tester,Role on the development team - Manager or Facilitator,Role on the development team - Product Specialist,Role on the development team - - Designer,Role on the development team - Not Specified,Role on the development team - Other
"An initial investigation into non-visual code structure overviews through speech, non-speech and spearcons",2018,Conference on Human Factors in Computing Systems (CHI),"Joe Hutchinson, Oussama Metatla",Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
AudioHighlight: Code Skimming for Blind Programmers,2018,International Conference on Software Maintenance and Evolution (ICSME),Ameer Armaly; Paige Rodeghero; Collin McMillan,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
A Duoethnographic Study of a Mixed-Ability Team in a Collaborative Group Programming Project,2022,Computer-Supported Collaborative Learning Conference (CSCL),"Huh, M., & Seo, J. Y.",Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Can we work together? on the inclusion of blind people in UML model-based tasks,2023,Cambridge Workshop on Universal Access and Assistive Technology (CWUAAT),"Luque, L., Veriscimo, E.S., Pereira, G.C., Filgueiras, L.V.L",No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
CodeTalk: Improving Programming Environment Accessibility for Visually Impaired Developers,2018,Conference on Human Factors in Computing Systems (CHI),"Venkatesh Potluri, Priyan Vaithilingam, Suresh Iyengar, Y. Vidya, Manohar Swaminathan, Gopal Srinivasa ",Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
CodeWalk: Facilitating Shared Awareness in Mixed-Ability Collaborative Software Development,2022,ACM SIGACCESS Conference on Computers (ASSETS),"Venkatesh Potluri, Maulishree Pandey, Andrew Begel, Michael Barnett, and Scott Reitherman",Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Coding Non-Visually in Visual Studio Code: Collaboration Towards Accessible Development Environment for Blind Programmers,2023,ACM SIGACCESS Conference on Computers (ASSETS),JooYoung Seo and Megan Rogge,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Eliciting programming challenges faced by developers with visual impairments: exploratory study,2016,International Workshop on Cooperative and Human Aspects of Software Engineering (CHASE),"Khaled Albusays, Stephanie Ludi",Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Examining The Work Experience of Programmers with Visual Impairments,2020,International Conference on Software Maintenance (ICSM),Earl W. Huff; Kwajo Boateng; Makayla Moster; Paige Rodeghero; Julian Brinkley,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Exploration of the use of auditory cues in code comprehension and navigation for individuals with visual impairments in a visual programming environment,2016,ACM SIGACCESS Conference on Computers (ASSETS),"Stephanie Ludi, Jamie Simpson, Wil Merchant",Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Eye Tracking Analysis of Code Layout, Crowding and Dyslexia - An Open Data Set",2021,Eye Tracking Research and Applications (ETRA),"Ian McChesney, Raymond Bond",Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
"Grid-Coding: An Accessible, Efficient, and Structured Coding Paradigm for Blind and Low-Vision Programmers",2022,User Interface Software and Technology (UIST),"Md Ehtesham-Ul-Haque, Syed Mostofa Monsur, Syed Masum Billah",Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
How accessible is the process of web interface design?,2013,ACM SIGACCESS Conference on Computers (ASSETS),"Kirk Norman, Yevgeniy Arber, and Ravi Kuber",No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
"""It’s Just Everything Outside of the IDE that’s the Problem"": Information Seeking by Software Developers with Visual Impairments",2021,Conference on Human Factors in Computing Systems (CHI),"Kevin M Storer, Harini Sampath, M. Alice Alice Merrick",Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes - Accessibility Specialist
Inclusive Multimodal Voice Interaction for Code Navigation,2022,International Conference on Multimodal Interaction (ICMI),"Bharat Paudyal, Chris Creed, Ian Williams, Maite Frutos-Pascual",Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Interviews and observation of blind software developers at work to understand code navigation challenges,2017,ACM SIGACCESS Conference on Computers (ASSETS),"Khaled Albusays, Stephanie Ludi, Matt Huenerfauth",Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Program-L: Online Help Seeking Behaviors by Blind and Low Vision Programmers,2022,IEEE Symposium on Visual Languages and Human Centric Computing (VL/HCC),Jazette Johnson; Andrew Begel; Richard Ladner; Denae Ford,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Programming by Voice: Exploring User Preferences and Speaking Styles,2023,Conversational User Interfaces (CUI),Sadia Nowrin and Keith Vertanen,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Prototyping accessible work systems with a deaf-blind employee,2020,Conference on Human Factors in Computing Systems (CHI),"Abigail Tan, Michael Robin, Craig Williams, LouAnne Boyd",No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
PSST: Enabling Blind or Visually Impaired Developers to Author Sonifications of Streaming Sensor Data,2022,User Interface Software and Technology (UIST),"Venkatesh Potluri, John Thompson, James Devine, Bongshin Lee, Nora Morsi, Peli De Halleux, Steve Hodges, and Jennifer Mankoff",Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Struct jumper: A tool to help blind programmers navigate and understand the structure of code,2015,Conference on Human Factors in Computing Systems (CHI),Catherine M. Baker; Lauren R. Milne; Richard E. Ladner,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Tests with blind programmers using AWMo: An accessible web modeling tool,2014,Universal Access in Human-Computer Interaction (UAHCI),"Filipe Del Nero Grillo, Renata Pontin de Mattos Fortes ",Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Understanding Accessibility and Collaboration in Programming for People with Visual Impairments,2021,Proceedings of the ACM on Human Computer Interaction (PACMHCI),Maulishree Pandey; Vaishnav Kameswaran; Hrishikesh V. Rao; Sile O'Modhrain; Steve Oney,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
Understanding and Supporting Neurodiverse Software Developers in Agile Teams,2023,Brazilian Symposium on Software Engineering (SBES),Kiev Gama; Aline Lacerda,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Using Software Engineering and Agile Methods to Improve Inclusion and Team Diversity,2020,Brazilian Symposium on Software Quality (SBQS),Anderson Mateus da Silva; Suzana C. B. Sampaio; Marcelo L.M. Marinho,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
A Professional Career with Autism: Findings from a Literature Review in the Software Engineering Domain,2021,Communications in Computer and Information Science,"Emma Costello, Sara Kilbride, Zoe Milne, Paul Clarke, Murat Yilmaz, Silvana Togneri MacMahon ",No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No
Atypical employment and disability in the digital economy: Accountability gap leaves disabled app developers’ rights unprotected,2018,"Law, Innovation and Technology ",Jenny I. Krutzinna & Luciano Floridi,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Diversity and Inclusion Initiatives in Brazilian Software Development Companies: Comparing the Perspectives of Managers and Developers,2022,Brazilian Symposium on Software Engineering (SBES),"Igor Poncell, Kiev Gama",No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
Observations on the Linear Order of Program Code Reading Patterns in Programmers with Dyslexia,2020,International Conference on Evaluation and Assessment in Software Engineering (EASE),Ian McChesney and Raymond Bond,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Understanding the challenges faced by neurodiverse software engineering employees: Towards a more inclusive and productive technical workforce,2015,ACM SIGACCESS Conference on Computers (ASSETS),Meredith Ringel Morris; Andrew Begel; Ben Wiedermann,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,"Yes - Technology consultant
Yes - Database administrator"
Visual Management and Blind Software Developers,2015,Agile Conference,Avelino Ferreira Gomes Filho; Rodrigo De Toledo,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
Accessibility of Command Line Interfaces,2021,Conference on Human Factors in Computing Systems (CHI),"Harini Sampath, Alice Merrick, Andrew Macvean",Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Accessibility of High-Fidelity Prototyping Tools,2021,Conference on Human Factors in Computing Systems (CHI),"Junchen Li, Garreth W. Tigwell, and Kristen Shinohara",Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Accessibility of UI Frameworks and Libraries for Programmers with Visual Impairments,2022,IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC),Maulishree Pandey; Sharvari Bondre; Sile O’Modhrain; Steve Oney,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Accessible AST-Based Programming for Visually-Impaired Programmers,2019,Computer Science Education (SIGCSE),"Emmanuel Schanzer, Sina Bahram, and Shriram Krishnamurthi.",Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Accessible Blockly: An Accessible Block-Based Programming Library for People with Visual Impairments,2022,ACM SIGACCESS Conference on Computers (ASSETS),"Aboubakar Mountapmbeme, Obianuju Okafor, and Stephanie Ludi.",No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
Accessible Web Development: Opportunities to Improve the Education and Practice of web Development with a Screen Reader,2021,ACM Transactions on Accessible Computing (TACCESS),"Claire Kearney-Volpe, Amy Hurst",No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
A comparison of program comprehension strategies by blind and sighted programmers,2018,IEEE Transactions on Software Engineering,"Ameer Armaly, Paige Rodeghero, Collin McMillan",Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No
Addressing Accessibility Barriers in Programming for People with Visual Impairments: A Literature Review,2022,ACM Transactions on Accessible Computing (TACCESS),"Aboubakar Mountapmbeme, Obianuju Okafor, Stephanie Ludi",Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No